,Name,City,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Payment_Method
473,Hostellerie_de_l'Abbaye_de_la_Celle,La Celle,60,116,"Mediterranean Cuisine, Provençal",6.0405673,43.3938151,33498051414.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/la-celle/restaurant/hostellerie-de-l-abbaye-de-la-celle,https://www.abbaye-celle.com/,1 MICHELIN Star,"American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
474,Le_Champ_des_Lunes,Lauris,88,128,Modern Cuisine,5.301734,43.762672,33413980000.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/lauris/restaurant/le-champ-des-lunes,https://www.lesdomainesdefontenille.com/fr/domainedefontenille.html,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
475,Le_Saint-Martin,Vence,69,140,"Modern Cuisine, Mediterranean Cuisine",7.1066248,43.7316508,33493580202.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/vence/restaurant/le-saint-martin,https://www.oetkercollection.com/hotels/chateau-saint-martin/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
476,Saisons,Écully,60,140,Modern Cuisine,4.7668974,45.7770468,33426209757.0,https://guide.michelin.com/en/auvergne-rhone-alpes/cully/restaurant/saisons4469,https://www.saisons-restaurant.fr/,1 MICHELIN Star,"American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
477,Le_Panoramic,Tignes,138,138,"Traditional Cuisine, Grills",6.8735,45.4281,33479064721.0,https://guide.michelin.com/en/auvergne-rhone-alpes/tignes/restaurant/le-panoramic,https://www.les-suites-du-nevada.com/le-panoramic-restaurant-tignes/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
478,Grand_Hôtel_du_Lion_d'Or,Romorantin-Lanthenay,69,155,Modern Cuisine,1.7438252,47.3602993,33254941515.0,https://guide.michelin.com/en/centre-val-de-loire/romorantin-lanthenay/restaurant/grand-hotel-du-lion-d-or,https://www.hotel-liondor-romorantin.fr/fr/,1 MICHELIN Star,"American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
479,Le_Manoir_de_la_Régate,Nantes,40,124,Modern Cuisine,-1.5263375,47.2936105,33240180297.0,https://guide.michelin.com/en/pays-de-la-loire/nantes/restaurant/manoir-de-la-regate,https://www.manoirdelaregate.com/,1 MICHELIN Star,"Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
480,La_Bastide_de_Capelongue,Bonnieux,120,160,"Provençal, Modern Cuisine",5.3174831,43.821659,33490758978.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/bonnieux/restaurant/la-bastide-de-capelongue,https://www.beaumier.com/fr/proprietes/hotel-capelongue,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
481,L'Essentiel,Périgueux,52,130,Modern Cuisine,0.72254,45.1841,33553351515.0,https://guide.michelin.com/en/nouvelle-aquitaine/prigueux/restaurant/l-essentiel117707,https://www.restaurant-perigueux.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
482,Auberge_Le_Prieuré,Moirax,33,92,Creative,0.6089812,44.1408186,33553475955.0,https://guide.michelin.com/en/nouvelle-aquitaine/moirax/restaurant/auberge-le-prieure,http://aubergeleprieure.fr/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Terrace,Visa credit card","Credit card / Debit card accepted,Visa credit card"
